GPMB0001,Mobile Broadband - Monthly Rolling,Y,N,Retail
GPMB0002,Mobile Broadband - 12 Months,Y,N,Retail
GPMB0003,Mobile Broadband - 24 Months,Y,N,Retail
GPMS001M,Smart 1GB - Monthly Rolling,Y,N,Retail
GPMS002M,Smart 1GB - 12 Months,Y,N,Retail
GPMS003M,Smart 1GB - 24 Months,Y,N,Retail
GPMS004M,Smart 2GB - Monthly Rolling,Y,N,Retail
GPMS005M,Smart 2GB - 12 Months,Y,N,Retail
GPMS006M,Smart 2GB - 24 Months,Y,N,Retail
GPMS007M,Smart 10GB - Monthly Rolling,Y,N,Retail
GPMS008M,Smart 10GB - 12 Months,Y,N,Retail
GPMS009M,Smart 10GB - 24 Months,Y,N,Retail
GPMS010M,Smart 25GB - Monthly Rolling,Y,N,Retail
GPMS011M,Smart 25GB - 12 Months,Y,N,Retail
GPMS012M,Smart 25GB - 24 Months,Y,N,Retail
GPMS013M,Smart 50GB - Monthly Rolling,Y,N,Retail
GPMS014M,Smart 50GB - 12 Months,Y,N,Retail
GPMS015M,Smart 50GB - 24 Months,Y,N,Retail
GPMS016M,Smart 100GB - Monthly Rolling,Y,N,Retail
GPMS017M,Smart 100GB - 12 Months,Y,N,Retail
GPMS018M,Smart 100GB - 24 Months,Y,N,Retail
GPMS020M,NFS - Pay As You Go - Classic,Y,N,Retail
GPMS021M,NFS - Pay As You Go - Rewards,Y,N,Retail
GPMS022M,Pay As You Go,Y,N,Retail
GPMS025M,Small - Monthly Rolling,Y,N,Retail
GPMS026M,Small - 12 Months,Y,N,Retail
GPMS027M,Small - 24 Months,Y,N,Retail
GPMS028M,Medium - Monthly Rolling,Y,N,Retail
GPMS029M,Medium - 12 Months,Y,N,Retail
GPMS030M,Medium - 24 Months,Y,N,Retail
GPMS031M,Large - Monthly Rolling,Y,N,Retail
GPMS032M,Large - 12 Months,Y,N,Retail
GPMS033M,Large - 24 Months,Y,N,Retail
GPMS034M,Extra Large - Monthly Rolling,Y,N,Retail
GPMS035M,Extra Large - 12 Months,Y,N,Retail
GPMS036M,Extra Large - 24 Months,Y,N,Retail
GPMS037M,Pay As You Go - Classic,Y,N,Retail
GPMS038M,Pay As You Go - Rewards,Y,N,Retail
GPMS040M,Mobile Package - 24 months,Y,N,Retail
GPMS041M,Mobile Package - 12 months,Y,N,Retail
GPMS042M,Mobile Package - Monthly Rolling,Y,N,Retail
GPMS043M,Mobile Package - 36 months,Y,N,Retail
GPMS045M,Mobile Plans - Monthly Rolling,Y,N,Retail
GPMS046M,Mobile Plans - 12 months,Y,N,Retail
GPMS047M,Mobile Plans - 24 months,Y,N,Retail
